transaction_id,customer_id,date,transaction_type,amount,currency,counterparty,counterparty_country,description,channel,risk_flag
TXN001,pan_card_risk60_1,2024-01-05,deposit,45000,INR,ABC Enterprises,India,Business Payment,branch,low
TXN002,pan_card_risk60_1,2024-01-08,withdrawal,8500,INR,Cash,India,ATM Withdrawal,atm,low
TXN003,pan_card_risk60_1,2024-01-12,transfer,95000,INR,XYZ Trading Co,India,Invoice Payment,online,medium
TXN004,pan_card_risk60_1,2024-01-15,deposit,120000,INR,International Wire,Singapore,Consulting Fees,wire,medium
TXN005,pan_card_risk60_1,2024-01-18,withdrawal,9500,INR,Cash,India,ATM Withdrawal,atm,low
TXN006,pan_card_risk60_1,2024-01-20,transfer,48000,INR,Real Estate Agency,India,Property Deposit,online,low
TXN007,pan_card_risk60_1,2024-01-22,withdrawal,9800,INR,Cash,India,Branch Withdrawal,branch,medium
TXN008,pan_card_risk60_1,2024-01-25,deposit,9900,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN009,pan_card_risk60_1,2024-01-27,transfer,85000,INR,Investment Firm,India,Mutual Fund Investment,online,low
TXN010,pan_card_risk60_1,2024-01-29,withdrawal,9700,INR,Cash,India,ATM Withdrawal,atm,medium
TXN011,pan_card_risk60_1,2024-02-01,deposit,9500,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN012,pan_card_risk60_1,2024-02-03,transfer,150000,INR,Legal Services,India,Professional Fees,online,low
TXN013,pan_card_risk60_1,2024-02-05,withdrawal,9600,INR,Cash,India,Branch Withdrawal,branch,medium
TXN014,pan_card_risk60_1,2024-02-08,deposit,75000,INR,ABC Enterprises,India,Business Payment,wire,low
TXN015,pan_card_risk60_1,2024-02-10,transfer,220000,INR,Car Dealership,India,Vehicle Purchase,online,low
TXN016,pan_card_risk60_1,2024-02-12,deposit,9400,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN017,pan_card_risk60_1,2024-02-15,withdrawal,50000,INR,Cash,India,Branch Withdrawal,branch,low
TXN018,pan_card_risk60_1,2024-02-18,transfer,180000,INR,International Wire,UAE,Business Services,wire,high
TXN019,pan_card_risk60_1,2024-02-20,deposit,9800,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN020,pan_card_risk60_1,2024-02-22,withdrawal,9300,INR,Cash,India,ATM Withdrawal,atm,medium
TXN021,pan_card_risk60_1,2024-02-25,transfer,95000,INR,Medical Services,India,Hospital Payment,online,low
TXN022,pan_card_risk60_1,2024-02-27,deposit,9900,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN023,pan_card_risk60_1,2024-03-01,withdrawal,9200,INR,Cash,India,ATM Withdrawal,atm,medium
TXN024,pan_card_risk60_1,2024-03-03,transfer,250000,INR,Property Developer,India,Real Estate Investment,online,medium
TXN025,pan_card_risk60_1,2024-03-05,deposit,9700,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN026,pan_card_risk60_1,2024-03-08,withdrawal,9500,INR,Cash,India,Branch Withdrawal,branch,medium
TXN027,pan_card_risk60_1,2024-03-10,transfer,35000,INR,Insurance Company,India,Premium Payment,online,low
TXN028,pan_card_risk60_1,2024-03-12,deposit,125000,INR,International Wire,Hong Kong,Freelance Income,wire,high
TXN029,pan_card_risk60_1,2024-03-15,withdrawal,9800,INR,Cash,India,ATM Withdrawal,atm,medium
TXN030,pan_card_risk60_1,2024-03-18,deposit,9600,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN031,pan_card_risk60_1,2024-03-20,transfer,175000,INR,Equipment Supplier,India,Business Purchase,online,low
TXN032,pan_card_risk60_1,2024-03-22,withdrawal,9400,INR,Cash,India,Branch Withdrawal,branch,medium
TXN033,pan_card_risk60_1,2024-03-25,deposit,9900,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN034,pan_card_risk60_1,2024-03-27,transfer,45000,INR,Educational Institution,India,Tuition Payment,online,low
TXN035,pan_card_risk60_1,2024-03-29,withdrawal,9700,INR,Cash,India,ATM Withdrawal,atm,medium
TXN036,pan_card_risk60_1,2024-04-01,deposit,200000,INR,International Wire,UK,Consulting Services,wire,medium
TXN037,pan_card_risk60_1,2024-04-03,transfer,85000,INR,Technology Provider,India,Software License,online,low
TXN038,pan_card_risk60_1,2024-04-05,withdrawal,9500,INR,Cash,India,Branch Withdrawal,branch,medium
TXN039,pan_card_risk60_1,2024-04-08,deposit,9800,INR,Cash Deposit,India,Cash Deposit,branch,medium
TXN040,pan_card_risk60_1,2024-04-10,transfer,120000,INR,Construction Company,India,Contract Payment,online,low
